Performance Statistics   2024-07-10 17:22:00 - 2024-07-10 17:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Performance Statistics   2024-07-11 21:10:00 - 2024-07-11 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2024-07-11 21:12:00 - 2024-07-11 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         6,0           6           6         0,0           1
login#create                                           258,0         258         258         0,0           1
login#init                                              49,0          49          49         0,0           1
login#inject                                            60,0          60          60         0,0           1
login#load                                             794,0         794         794         0,0           1
login#uiPermissions                                      4,0           4           4         0,0           1
login#xml                                               20,0          20          20         0,0           1
main#afterShow                                          27,0          27          27         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             23,0          23          23         0,0           1
main#init                                               23,0          23          23         0,0           1
main#inject                                              7,0           7           7         0,0           1
main#load                                              168,0         168         168         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 4,0           4           4         0,0           1

